cause,resolution,object_id,work_order_id,date_initiated,date_started,date_finished,asset_type,asset_group,description,priority,status,street_class,quantity,unit,address,district,x,y,project_name,flag_bad_date,work_type,is_active,age_days,days_to_finish,is_storm,needs_traffic_control,needs_nsp,waiting_tender,has_coords,tree_dist_m,match_conf,tree_id,species_common,dbh_class,wires,loc_gen,year_planted,is_ash,n_trees_25m,max_dbh_25m,any_wires_25m,any_ash_25m
,,78218,316339,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,MAJOR COLLECTOR,4.0,SLABS,WINDSOR ST (CHARLES TO WILLOW),8,-7079592.85879475,5566841.46539311,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,7.734772011032802,med,TRE141842,Oak,2,True,ROW,,False,5,4.0,True,False
,,78219,316340,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,4.0,SLABS,CUNARD ST (HUNTER TO WINDSOR),8,-7079352.49031053,5566638.96837014,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,16.001705998801587,low,,,,,,,,2,2.0,True,False
,,78220,316341,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,4.0,SLABS,HERRING COVE RD (FORREST TO ARMSHORE),9,-7082090.94941698,5564967.53735771,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,46.46112220922458,none,,,,,,,,0,,False,False
,,78221,316342,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,5.0,SLABS,CREIGHTON ST,7,-7078020.573,5566689.807,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,1.8924571072194347,high,TRE246239,Northern Red Oak,1,True,ROW,2023,False,7,4.0,True,True
,,78222,316343,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,9.0,SLABS,ARTZ ST (HAMILTON TO BARRINGTON),8,-7078453.38224407,5567759.54202673,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,20.475901178415555,none,,,,,,,,2,3.0,False,False
,,78223,316344,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,5.0,SLABS,HILDEN DR (HERRING COVE TO CIVIC 30),11,-7081328.79909936,5559274.88046177,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,10.748742917773404,low,,,,,,,,1,1.0,False,False
,,78224,316345,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,7.0,SLABS,QUINPOOL RD (NEWTON TO CONNAUGHT),9,-7080627.29836713,5565511.66982476,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,6.561478900570579,med,TRE147708,Maple,5,True,ROW,,False,6,7.0,True,False
,,78225,316346,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,7.0,SLABS,LACEWOOD DR EAST (FAIRFAX DR TO BI HI RAMP),12,-7087956.6258814,5567898.23428411,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,2.27985303634462,high,TRE250074,Northern Red Oak,2,True,ROW,2021,False,7,2.0,True,False
,,78226,316347,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,7.0,SLABS,HERRING COVE RD (QUINPOOL TO ARMDALE ROTARY),9,-7082133.80011839,5565141.35284874,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,58.996998491874876,none,,,,,,,,0,,False,False
,,78227,316349,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,10.0,SLABS,LEPPERT ST (MUMFORD TO PHILIP),9,-7081833.58548541,5565911.85386674,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,4.941103485649722,high,TRE147109,Unknown Species,4,False,ROW,,False,4,6.0,True,False
